workload,protocol,threads,hotset_prob,elapsed_s,total_commits,total_aborts,throughput_tps,abort_rate_pct,txn_type,type_commits,type_aborts,type_abort_pct,type_avg_latency_us,type_p50_us,type_p90_us,type_p99_us
2,2pl,4,0.300000,0.012576,800,0,63612.174384,0.000000,payment,380,0,0.000000,50.779061,11.292000,22.925000,681.109390
2,2pl,4,0.500000,0.013539,800,0,59089.283464,0.000000,payment,399,0,0.000000,50.134950,9.875000,13.067000,503.487000
2,2pl,4,0.500000,0.013539,800,0,59089.283464,0.000000,new_order,401,0,0.000000,32.200035,13.250000,17.834000,424.625000
2,2pl,4,0.700000,0.021381,800,0,37416.178990,0.000000,new_order,377,0,0.000000,38.284446,13.458000,15.241200,22.810080
2,2pl,4,0.700000,0.021381,800,0,37416.178990,0.000000,payment,423,0,0.000000,64.072217,9.917000,11.616600,136.284740
2,2pl,4,0.900000,0.022774,800,0,35127.840530,0.000000,new_order,406,0,0.000000,99.571128,14.291000,20.354500,36.361050
2,2pl,4,0.900000,0.022774,800,0,35127.840530,0.000000,payment,394,0,0.000000,11.961805,10.520500,13.708000,26.282190
2,2pl,8,0.100000,0.027289,1600,0,58632.488812,0.000000,new_order,764,0,0.000000,64.527592,36.646000,114.762500,527.900500
2,2pl,8,0.100000,0.027289,1600,0,58632.488812,0.000000,payment,836,0,0.000000,125.172687,35.104000,216.833000,1069.612950
2,2pl,8,0.300000,0.043276,1600,0,36972.171416,0.000000,new_order,830,0,0.000000,54.182072,14.750000,55.679200,511.667860
2,2pl,8,0.300000,0.043276,1600,0,36972.171416,0.000000,payment,770,0,0.000000,164.419766,11.270500,48.262200,1175.628960
2,2pl,8,0.500000,0.030442,1600,0,52559.757077,0.000000,new_order,823,0,0.000000,75.597238,13.500000,37.741400,1093.368720
2,2pl,8,0.500000,0.030442,1600,0,52559.757077,0.000000,payment,777,0,0.000000,92.144207,10.083000,25.500000,747.371920
2,2pl,8,0.700000,0.042576,1600,0,37580.261456,0.000000,new_order,788,0,0.000000,57.559264,13.729500,16.167000,155.708580
2,2pl,8,0.700000,0.042576,1600,0,37580.261456,0.000000,payment,812,0,0.000000,126.428317,10.042000,12.541900,1192.615120
2,2pl,8,0.900000,0.082309,1600,0,19438.982698,0.000000,new_order,778,0,0.000000,186.072760,13.625000,18.512600,32.416230
2,2pl,8,0.900000,0.082309,1600,0,19438.982698,0.000000,payment,822,0,0.000000,123.099807,10.062500,13.328900,26.390000
2,2pl,16,0.100000,0.063930,3200,0,50054.420887,0.000000,new_order,1561,0,0.000000,159.567013,43.833000,168.292000,1071.500400
2,2pl,16,0.100000,0.063930,3200,0,50054.420887,0.000000,payment,1639,0,0.000000,184.926101,35.333000,219.008400,2085.024420
2,2pl,16,0.300000,0.078078,3200,0,40984.459525,0.000000,new_order,1576,0,0.000000,123.154567,16.583000,44.604000,980.312750
2,2pl,16,0.300000,0.078078,3200,0,40984.459525,0.000000,payment,1624,0,0.000000,220.646956,12.167000,33.921500,1086.064430
2,2pl,16,0.500000,0.150462,3200,0,21267.875492,0.000000,payment,1598,0,0.000000,302.500801,11.208000,18.958300,573.237510
2,2pl,16,0.500000,0.150462,3200,0,21267.875492,0.000000,new_order,1602,0,0.000000,139.779855,15.417000,26.325600,520.151160
2,2pl,16,0.700000,0.147731,3200,0,21660.924784,0.000000,new_order,1624,0,0.000000,348.134046,15.458000,23.475100,1143.217660
2,2pl,16,0.700000,0.147731,3200,0,21660.924784,0.000000,payment,1576,0,0.000000,166.911153,11.250000,16.916500,1058.823250
2,2pl,16,0.900000,0.144115,3200,0,22204.431692,0.000000,payment,1623,0,0.000000,386.785831,11.042000,15.833000,44.107000
2,2pl,16,0.900000,0.144115,3200,0,22204.431692,0.000000,new_order,1577,0,0.000000,129.372484,15.084000,21.708000,45.185000
